Link Skoob,Nome,Coletado?
https://www.skoob.com.br/brasil-dos-humilhados-12143565ed12126694.html,Brasil dos humilhados,False
https://www.skoob.com.br/esfarrapados-122338385ed122344154.html,Esfarrapados,False
https://www.skoob.com.br/estrela-vermelha-sobre-o-terceiro-mundo-875269ed881123.html,Estrela Vermelha Sobre o Terceiro Mundo,False
https://www.skoob.com.br/critica-da-filosofia-do-direito-de-hegel-579934ed581220.html,Crítica da filosofia do direito de Hegel,False
https://www.skoob.com.br/a-ideologia-alema-11264ed12566.html,A ideologia alemã,False
https://www.skoob.com.br/o-capital-livro-ii-450039ed509881.html,O Capital - Livro II,False
https://www.skoob.com.br/o-capital-obra-resumida-por-julian-borchardt-8443ed9700.html,O Capital - Obra resumida por Julian Borchardt,False
https://www.skoob.com.br/leviata-10832ed12133.html,Leviatã,False
https://www.skoob.com.br/a-mao-invisivel-334784ed375233.html,A mão invisível,False
https://www.skoob.com.br/o-capital-livro-1-19356ed20835.html,O capital: Livro 1,False
https://www.skoob.com.br/maquiavel-84542ed93321.html,Maquiavel,False
https://www.skoob.com.br/a-mentalidade-anticapitalista-115515ed128227.html,A Mentalidade Anticapitalista,False
https://www.skoob.com.br/o-capital-79390ed87553.html,O Capital,False
https://www.skoob.com.br/o-18-brumario-de-luis-bonaparte-8069ed9326.html,O 18 Brumário de Luís Bonaparte,False
https://www.skoob.com.br/discurso-sobre-a-origem-e-os-fundamentos-da-desigualdade-entre-os-homens-4433ed5495.html,Discurso Sobre a Origem e os Fundamentos da Desigualdade entre os Homens,False
https://www.skoob.com.br/o-alcorao-291031ed326156.html,O Alcorão,False
https://www.skoob.com.br/desobediencia-civil-123260ed136785.html,Desobediência Civil ,False
https://www.skoob.com.br/o-capital-579824ed581109.html,O Capital,False
https://www.skoob.com.br/alem-do-bem-e-do-mal-372761ed420800.html,Além do Bem e do Mal,False
https://www.skoob.com.br/o-anticristo-2318ed3078.html,O Anticristo,False
https://www.skoob.com.br/o-mal-estar-na-cultura-96469ed106747.html,O mal-estar na cultura,False
https://www.skoob.com.br/o-mito-da-caverna-577994ed579164.html,O Mito da Caverna,False
https://www.skoob.com.br/a-arte-de-escrever-212711ed238057.html,A Arte de Escrever ,False
https://www.skoob.com.br/o-abc-do-comunismo-parte-ii-122251111ed122257950.html,O ABC do Comunismo: Parte II,False
https://www.skoob.com.br/o-capital-343048ed384830.html,O Capital,False
https://www.skoob.com.br/o-capital-426353ed482889.html,O Capital,False
https://www.skoob.com.br/karl-marx-381700ed431675.html,Karl Marx,False
https://www.skoob.com.br/a-arte-de-escrever-304855ed341592.html,A Arte De Escrever,False
https://www.skoob.com.br/a-desobediencia-civil-14105ed15509.html,A Desobediência Civil,False
https://www.skoob.com.br/o-livro-vermelho-357457ed401631.html,O Livro Vermelho,False
https://www.skoob.com.br/manifesto-comunista-408859ed463945.html,Manifesto Comunista,False
https://www.skoob.com.br/zen-socialismo-529460ed537732.html,Zen Socialismo,False
https://www.skoob.com.br/o-capital-70898ed78196.html,O Capital,False
https://www.skoob.com.br/a-origem-da-familia-da-propriedade-privada-e-do-estado-7357ed8586.html,"A origem da família, da propriedade privada e do Estado",False
https://www.skoob.com.br/o-capital-2922ed3779.html,O Capital,False
